customer_id,first_name,last_name,email,city,country,created_at
1,Timothy,Wallace,timothy.wallace405@yahoo.com,Chennai,India,2024-06-02
2,Stefanie,Tran,stefanie.tran761@gmail.com,Chicago,USA,2024-10-12
3,Stacey,Steele,stacey.steele196@outlook.com,Mumbai,India,2024-06-09
4,Brandon,Edwards,brandon.edwards426@yahoo.com,Delhi,India,2023-12-30
5,Antonio,Chapman,antonio.chapman374@icloud.com,London,United Kingdom,2023-10-08
6,Jessica,Russell,jessica.russell795@outlook.com,Mumbai,India,2024-07-26
7,Kelly,Alexander,kelly.alexander447@gmail.com,London,United Kingdom,2024-05-29
8,Eric,Rodriguez,eric.rodriguez631@icloud.com,Chennai,India,2026-06-28
9,Lisa,Cuevas,lisa.cuevas690@yahoo.com,Chicago,USA,2024-12-25
10,Kari,Kent,kari.kent406@icloud.com,New York,USA,2026-04-06
11,Richard,Cummings,richard.cummings692@outlook.com,London,United Kingdom,2024-02-19
12,William,Gonzalez,william.gonzalez306@icloud.com,Seattle,USA,2023-07-14
13,Paul,Hebert,paul.hebert241@yahoo.com,Seattle,USA,2026-06-27
14,Keith,Strickland,keith.strickland25@outlook.com,Seattle,USA,2025-01-07
15,Charles,Riley,charles.riley811@outlook.com,Chennai,India,2025-05-25
16,Jeffery,Floyd,jeffery.floyd892@outlook.com,Bengaluru,India,2024-08-07
17,Mary,Brooks,mary.brooks720@gmail.com,Seattle,USA,2024-12-19
18,Andrea,Mills,andrea.mills25@outlook.com,Chicago,USA,2024-12-28
19,William,Sanchez,william.sanchez286@yahoo.com,New York,USA,2026-01-02
20,Kristen,Everett,kristen.everett340@outlook.com,London,United Kingdom,2024-11-03
21,Carol,Harper,carol.harper259@yahoo.com,London,United Kingdom,2025-08-31
22,Sarah,Brandt,sarah.brandt893@icloud.com,Berlin,Germany,2024-05-16
23,Roy,Landry,roy.landry703@gmail.com,Berlin,Germany,2023-10-20
24,Robert,Franklin,robert.franklin248@yahoo.com,Berlin,Germany,2024-12-19
25,Beth,Mason,beth.mason226@gmail.com,Seattle,USA,2024-01-22
26,Alyssa,Anderson,alyssa.anderson133@icloud.com,New York,USA,2024-02-12
27,Jonathan,Williams,jonathan.williams975@gmail.com,Seattle,USA,2025-10-23
28,Howard,Rodriguez,howard.rodriguez988@yahoo.com,New York,USA,2025-03-11
29,Ana,Bass,ana.bass426@icloud.com,London,United Kingdom,2025-11-05
30,Victor,Ford,victor.ford269@icloud.com,Delhi,India,2026-06-05
31,Cindy,Fields,cindy.fields514@outlook.com,New York,USA,2025-06-10
32,Julia,Hicks,julia.hicks615@icloud.com,Berlin,Germany,2024-10-04
33,Robert,Christensen,robert.christensen957@outlook.com,Bengaluru,India,2024-07-17
34,Sarah,Wilson,sarah.wilson331@icloud.com,Berlin,Germany,2025-08-31
35,Erin,Fields,erin.fields518@gmail.com,Sydney,Australia,2025-07-08
36,Joseph,Mann,joseph.mann293@yahoo.com,London,United Kingdom,2026-03-28
37,Jennifer,Stuart,jennifer.stuart926@yahoo.com,New York,USA,2024-11-20
38,David,Gibson,david.gibson969@icloud.com,Mumbai,India,2025-05-15
39,Carmen,Francis,carmen.francis960@gmail.com,Mumbai,India,2023-07-27
40,Jennifer,Robertson,jennifer.robertson148@icloud.com,Delhi,India,2025-01-26
41,Rachel,Ayala,rachel.ayala734@outlook.com,Hyderabad,India,2024-06-14
42,Zachary,Fox,zachary.fox313@gmail.com,Seattle,USA,2026-04-16
43,Samantha,Perez,samantha.perez939@outlook.com,Delhi,India,2024-01-07
44,Wendy,Wilson,wendy.wilson38@gmail.com,New York,USA,2026-01-03
45,Jeanette,Snyder,jeanette.snyder920@outlook.com,New York,USA,2024-02-29
46,Rhonda,Johnson,rhonda.johnson583@outlook.com,Seattle,USA,2025-10-24
47,Lauren,Blake,lauren.blake580@outlook.com,Mumbai,India,2026-06-15
48,Brandon,Martinez,brandon.martinez606@yahoo.com,Delhi,India,2024-11-17
49,Nathan,Lam,nathan.lam506@outlook.com,London,United Kingdom,2025-01-05
